Hospital Name,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Patient experience national comparison
TURNING POINT HOSPITAL,GA,Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Not Available
PIEDMONT FAYETTE HOSPITAL,GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
PIEDMONT MOUNTAINSIDE HOSPITAL INC,GA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Same as the national average
DEKALB MEDICAL CENTER AT HILLANDALE,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
"PIEDMONT NEWNAN HOSPITAL, INC",GA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
EMORY JOHNS CREEK HOSPITAL,GA,Acute Care Hospitals,Proprietary,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
SOUTHEASTERN REGIONAL MEDICAL CENTER,GA,Acute Care Hospitals,Proprietary,No,4.0,Not Available,Same as the national average,Not Available,Above the national average
SGMC BERRIEN CAMPUS,GA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Same as the national average,Above the national average,Not Available
CORNERSTONE MEDICAL CENTER,GA,Acute Care Hospitals,Proprietary,Yes,,Not Available,Not Available,Not Available,Not Available
SOUTHWEST GEORGIA REGIONAL MEDICAL CENTER,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
BLECKLEY MEMORIAL HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
JASPER MEMORIAL HOSPITAL,GA,Critical Access Hospitals,Government - Local,Yes,,Not Available,Same as the national average,Above the national average,Not Available
MORGAN MEMORIAL HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Above the national average,Not Available
MILLER COUNTY HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
EFFINGHAM HEALTH SYSTEM,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
CLINCH MEMORIAL HOSPITAL,GA,Critical Access Hospitals,Government - Local,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
"MEDICAL CENTER OF PEACH COUNTY, NAVICENT HEALTH",GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
OPTIM MEDICAL CENTER - JENKINS,GA,Critical Access Hospitals,Physician,Yes,,Not Available,Not Available,Same as the national average,Not Available
OPTIM MEDICAL CENTER - SCREVEN,GA,Critical Access Hospitals,Physician,Yes,,Not Available,Not Available,Same as the national average,Not Available
PUTNAM GENERAL HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
PIONEER COMMUNITY HOSPITAL OF EARLY,GA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
WARM SPRINGS MEDICAL CENTER,GA,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,Not Available,Not Available,Not Available
MONROE COUNTY HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Same as the national average,Not Available
WELLSTAR SYLVAN GROVE HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
HIGGINS GENERAL HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
OPTIM MEDICAL CENTER - TATTNALL,GA,Critical Access Hospitals,Proprietary,Yes,,Not Available,Not Available,Same as the national average,Above the national average
CHATUGE REGIONAL HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Not Available
WILLS MEMORIAL HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Not Available,Above the national average,Not Available
SGMC LANIER CAMPUS,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Not Available
BACON COUNTY HOSPITAL,GA,Critical Access Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
PHOEBE WORTH MEDICAL CENTER,GA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Same as the national average,Not Available,Not Available,Not Available
ST MARY'S GOOD SAMARITAN HOSPITAL,GA,Critical Access Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Not Available
POLK MEDICAL CENTER,GA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Same as the national average,Above the national average,Not Available
MITCHELL COUNTY HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
BROOKS COUNTY HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
JEFF DAVIS HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
CANDLER COUNTY HOSPITAL,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Not Available
LIBERTY REGIONAL MEDICAL CENTER,GA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
MOUNTAIN LAKES MEDICAL CENTER,GA,Critical Access Hospitals,Proprietary,Yes,,Same as the national average,Not Available,Not Available,Not Available
CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,GA,Childrens,Voluntary non-profit - Other,Yes,,Not Available,Not Available,Not Available,Not Available
CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,GA,Childrens,Voluntary non-profit - Other,Yes,,Not Available,Not Available,Not Available,Not Available
THE QUEENS MEDICAL CENTER,HI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Below the national average,Above the national average
MAUI MEMORIAL MEDICAL CENTER,HI,Acute Care Hospitals,Government - State,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Below the national average
WAHIAWA GENERAL HOSPITAL,HI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
HILO MEDICAL CENTER,HI,Acute Care Hospitals,Government - State,Yes,4.0,Above the national average,Same as the national average,Below the national average,Same as the national average
CASTLE MEDICAL CENTER,HI,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
KUAKINI MEDICAL CENTER,HI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
KAISER FOUNDATION HOSPITAL,HI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Not Available,Above the national average
WILCOX MEMORIAL HOSPITAL,HI,Acute Care Hospitals,Government - Federal,Yes,4.0,Above the national average,Same as the national average,Below the national average,Above the national average
KONA COMMUNITY HOSPITAL,HI,Acute Care Hospitals,Government - State,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
STRAUB CLINIC AND HOSPITAL,HI,Acute Care Hospitals,Proprietary,Yes,5.0,Above the national average,Same as the national average,Above the national average,Above the national average
PALI MOMI MEDICAL CENTER,HI,Acute Care Hospitals,Proprietary,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
NORTH HAWAII COMMUNITY HOSPITAL,HI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
KAUAI VETERANS MEMORIAL HOSPITAL,HI,Critical Access Hospitals,Government - State,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
KAU HOSPITAL,HI,Critical Access Hospitals,Government - State,Yes,,Not Available,Not Available,Not Available,Not Available
KOHALA HOSPITAL,HI,Critical Access Hospitals,Government - State,Yes,,Not Available,Not Available,Not Available,Not Available
MOLOKAI GENERAL HOSPITAL,HI,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
KAHUKU MEDICAL CENTER,HI,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,Not Available,Not Available,Not Available
LANAI COMMUNITY HOSPITAL,HI,Critical Access Hospitals,Government - State,Yes,,Not Available,Not Available,Not Available,Not Available
SAMUEL MAHELONA MEMORIAL HOSPITAL,HI,Critical Access Hospitals,Government - State,Yes,,Not Available,Not Available,Above the national average,Not Available
HALE HO'OLA HAMAKUA,HI,Critical Access Hospitals,Government - State,Yes,,Not Available,Not Available,Not Available,Not Available
KULA HOSPITAL,HI,Critical Access Hospitals,Government - State,Yes,,Not Available,Not Available,Not Available,Not Available
KAPIOLANI MEDICAL CENTER FOR WOMEN & CHILDREN,HI,Childrens,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
SHRINERS HOSPITAL FOR CHILDREN,HI,Childrens,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available
ST LUKE'S MAGIC VALLEY RMC,ID,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
ST JOSEPH REGIONAL MEDICAL CENTER,ID,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Above the national average,Same as the national average
ST LUKE'S REGIONAL MEDICAL CENTER,ID,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,Above the national average,Same as the national average,Same as the national average,Above the national average
SAINT ALPHONSUS REGIONAL MEDICAL CENTER,ID,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Above the national average,Above the national average,Same as the national average,Below the national average
SAINT ALPHONSUS MEDICAL CENTER - NAMPA,ID,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Above the national average,Same as the national average,Above the national average,Below the national average
WEST VALLEY MEDICAL CENTER,ID,Acute Care Hospitals,Proprietary,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
EASTERN IDAHO REGIONAL MEDICAL CENTER,ID,Acute Care Hospitals,Proprietary,Yes,4.0,Above the national average,Same as the national average,Above the national average,Same as the national average
MADISON MEMORIAL HOSPITAL,ID,Acute Care Hospitals,Government - Local,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Above the national average
PORTNEUF MEDICAL CENTER,ID,Acute Care Hospitals,Proprietary,Yes,3.0,Above the national average,Same as the national average,Above the national average,Same as the national average
KOOTENAI HEALTH,ID,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Above the national average,Above the national average,Same as the national average,Below the national average
TREASURE VALLEY HOSPITAL,ID,Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Above the national average
MOUNTAIN VIEW HOSPITAL,ID,Acute Care Hospitals,Proprietary,Yes,,Not Available,Same as the national average,Not Available,Same as the national average
NORTHWEST SPECIALTY HOSPITAL,ID,Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Above the national average
IDAHO DOCTORS HOSPITAL,ID,Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Not Available
BOUNDARY COMMUNITY HOSPITAL,ID,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Not Available,Not Available,Not Available,Not Available
NORTH CANYON MEDICAL CENTER,ID,Critical Access Hospitals,Voluntary non-profit - Private,No,4.0,Same as the national average,Not Available,Not Available,Above the national average
NELL J REDFIELD MEMORIAL HOSPITAL,ID,Critical Access Hospitals,Government - Local,Yes,,Not Available,Not Available,Not Available,Not Available
POWER COUNTY HOSPITAL DISTRICT,ID,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
STEELE MEMORIAL MEDICAL CENTER,ID,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,Same as the national average,Not Available,Not Available,Not Available
WEISER MEMORIAL HOSPITAL,ID,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Not Available
CASCADE MEDICAL CENTER,ID,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
CARIBOU MEMORIAL HOSPITAL,ID,Critical Access Hospitals,Government - Local,Yes,,Not Available,Not Available,Not Available,Not Available
ST LUKE'S JEROME,ID,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
ST LUKE'S ELMORE MEDICAL CENTER,ID,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Not Available,Not Available,Same as the national average
ST LUKE'S MCCALL,ID,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Same as the national average,Not Available,Not Available,Above the national average
TETON VALLEY HOSPITAL,ID,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
SHOSHONE MEDICAL CENTER,ID,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Not Available
SYRINGA GENERAL HOSPITAL,ID,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Not Available
BEAR LAKE MEMORIAL HOSPITAL,ID,Critical Access Hospitals,Government - Local,Yes,,Same as the national average,Not Available,Not Available,Above the national average
BENEWAH COMMUNITY HOSPITAL,ID,Critical Access Hospitals,Government - Local,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
VALOR HEALTH,ID,Critical Access Hospitals,Government - Local,Yes,,Not Available,Not Available,Not Available,Not Available
MINIDOKA MEMORIAL HOSPITAL,ID,Critical Access Hospitals,Government - Local,Yes,,Same as the national average,Not Available,Not Available,Not Available
CLEARWATER VALLEY HOSPITAL & CLINICS,ID,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Not Available,Not Available,Same as the national average
ST MARY'S HOSPITAL,ID,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Not Available,Not Available,Above the national average
FRANKLIN COUNTY MEDICAL CENTER,ID,Critical Access Hospitals,Government - Local,Yes,,Same as the national average,Not Available,Not Available,Same as the national average
ST LUKE'S WOOD RIVER MEDICAL CENTER,ID,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Same as the national average,Not Available,Not Available,Above the national average
LOST RIVERS HOSPITAL,ID,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
BINGHAM MEMORIAL HOSPITAL,ID,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Not Available,Same as the national average
CASSIA REGIONAL HOSPITAL,ID,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
GRITMAN MEDICAL CENTER,ID,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Not Available,Above the national average
BONNER GENERAL HOSPITAL,ID,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
GRAHAM HOSPITAL ASSOCIATION,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
ALTON MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
PRESENCE SAINT JOSEPH MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Below the national average,Below the national average,Same as the national average,Same as the national average
LOYOLA GOTTLIEB MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
EVANSTON HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
HERRIN HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
KATHERINE SHAW BETHEA HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Above the national average,Above the national average,Same as the national average
PROCTOR HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
BLESSING HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Above the national average
MT SINAI HOSPITAL MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
SHELBY MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Not Available
COPLEY MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Above the national average
SHERMAN HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Above the national average,Above the national average
ST ANTHONYS MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Above the national average,Same as the national average,Above the national average,Above the national average
VISTA MEDICAL CENTER WEST,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Below the national average,Same as the national average,Same as the national average,Above the national average
GALESBURG COTTAGE HOSPITAL,IL,Acute Care Hospitals,Proprietary,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
CGH MEDICAL CENTER,IL,Acute Care Hospitals,Government - Local,Yes,4.0,Above the national average,Same as the national average,Above the national average,Same as the national average
GOOD SAMARITAN REGIONAL HLTH CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
ADVOCATE TRINITY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Below the national average,Same as the national average,Below the national average,Below the national average
WEST SUBURBAN MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Below the national average
OSF SAINT ANTHONY'S HEALTH CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Above the national average
ST JOHNS HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Above the national average,Same as the national average,Below the national average,Above the national average
MACNEAL  HOSPITAL,IL,Acute Care Hospitals,Proprietary,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
PASSAVANT AREA HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
JERSEY COMMUNITY HOSPITAL,IL,Acute Care Hospitals,Government - Local,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
PALOS COMMUNITY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
RUSH OAK PARK HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
ST MARY MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5.0,Above the national average,Same as the national average,Above the national average,Above the national average
SAINT FRANCIS MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Above the national average,Same as the national average,Below the national average,Above the national average
ROSELAND COMMUNITY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
TOUCHETTE REGIONAL HOSPITAL INC,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
PRESENCE SAINT FRANCIS HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,No,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
LOUIS A WEISS MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
LORETTO HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Below the national average,Below the national average,Not Available
VISTA MEDICAL CENTER EAST,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Below the national average,Above the national average
MC DONOUGH DISTRICT HOSPITAL,IL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Above the national average,Same as the national average,Above the national average,Above the national average
THE CARLE FOUNDATION HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Above the national average,Same as the national average,Above the national average
PRESENCE UNITED SAMARITANS MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Below the national average,Same as the national average,Above the national average,Same as the national average
SAINT ANTHONY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Same as the national average
MIDWESTERN REGION MED CENTER,IL,Acute Care Hospitals,Proprietary,Yes,4.0,Not Available,Same as the national average,Same as the national average,Above the national average
MORRIS HOSPITAL & HEALTHCARE CENTERS,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Above the national average,Above the national average
ST BERNARD HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
PRESENCE COVENANT MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
SWEDISH COVENANT HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
THOREK MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5.0,Above the national average,Same as the national average,Below the national average,Above the national average
PRESENCE RESURRECTION MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Below the national average,Same as the national average,Above the national average,Same as the national average
METROSOUTH MEDICAL CENTER,IL,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
RUSH UNIVERSITY MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Below the national average,Same as the national average,Below the national average,Above the national average
PEKIN MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
ADVENTIST HINSDALE HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Above the national average,Same as the national average,Above the national average,Above the national average
JOHN H STROGER JR HOSPITAL,IL,Acute Care Hospitals,Government - Local,No,2.0,Below the national average,Below the national average,Below the national average,Below the national average
GATEWAY REGIONAL MEDICAL CENTER,IL,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
ADVOCATE BROMENN MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Above the national average
NORTHWESTERN LAKE FOREST HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
HOLY CROSS HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Below the national average,Below the national average,Below the national average
DECATUR MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
GREENVILLE REGIONAL HOSPITAL INC,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
ST MARGARETS HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
ST JOSEPHS HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,No,4.0,Above the national average,Same as the national average,Above the national average,Above the national average
RICHLAND MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Above the national average
MEMORIAL MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Below the national average,Below the national average,Below the national average
UNIVERSITY OF ILLINOIS HOSPITAL,IL,Acute Care Hospitals,Government - State,Yes,1.0,Below the national average,Same as the national average,Below the national average,Below the national average
PRESENCE ST MARYS HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
MERCY HOSPITAL AND MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
FHN MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
SAINT JAMES HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
ST JOSEPH MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
MEMORIAL HOSPITAL OF CARBONDALE,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Above the national average
ST MARYS HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Above the national average,Same as the national average,Same as the national average
IROQUOIS MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
